collection_date	cage	gender	response	run	timepoint	DNR	TNBS	AOMDSS	DSS	IL10
ERR2183277	3/8/14	TBC11	Female	0	run1	pupday21	0	0	0	0	0
ERR2183279	3/11/14	TBC13	Female	0	run1	pupday21	0	0	0	0	0
ERR2183280	3/11/14	TBC01	Female	0	run1	pupday28	0	0	0	0	0
ERR2183283	3/11/14	TBC03	Female	0	run1	pupday28	0	0	0	0	0
ERR2183290	3/14/14	TBC11	Female	0	run1	pupday28	0	0	0	0	0
ERR2183292	6/9/13	TBI02	Female	1	run1	gavage_D2	0	0	0	0	1
ERR2183293	3/18/14	TBC13	Female	0	run1	pupday28	0	0	0	0	0
ERR2183294	3/19/14	TBC01	Female	0	run1	pupday36	0	0	0	0	0
ERR2183295	3/19/14	TBC03	Female	0	run1	pupday36	0	0	0	0	0
ERR2183297	3/21/14	TBC05	Female	0	run1	pupday36	0	0	0	0	0
ERR2183299	3/21/14	TBC07	Female	0	run1	pupday36	0	0	0	0	0
ERR2183301	3/21/14	TBC09	Female	0	run1	pupday36	0	0	0	0	0
ERR2183303	3/23/14	TBC11	Female	0	run1	pupday36	0	0	0	0	0
ERR2183305	3/27/13	TBC13	Female	0	run1	pupday36	0	0	0	0	0
ERR2183307	4/4/14	TBC03	Female	0	run1	week_6	0	0	0	0	0
ERR2183309	4/4/14	TBC05	Female	0	run1	week_6	0	0	0	0	0
ERR2183311	4/4/14	TBC07	Female	0	run1	week_6	0	0	0	0	0
ERR2183312	6/9/13	TBI04	Female	1	run1	gavage_D2	0	0	0	0	1
ERR2183314	4/4/14	TBC11	Female	0	run1	week_6	0	0	0	0	0
ERR2183316	4/4/14	TBC13	Female	0	run1	week_6	0	0	0	0	0
ERR2183317	4/11/14	TBC01	Female	0	run1	week_7_fecal	0	0	0	0	0
ERR2183319	4/11/14	TBC03	Female	0	run1	week_7_fecal	0	0	0	0	0
ERR2183323	4/11/14	TBC05	Female	0	run1	week_7_fecal	0	0	0	0	0
ERR2183325	4/11/14	TBC07	Female	0	run1	week_7_fecal	0	0	0	0	0
ERR2183327	4/11/14	TBC09	Female	0	run1	week_7_fecal	0	0	0	0	0
ERR2183329	4/11/14	TBC11	Female	0	run1	week_7_fecal	0	0	0	0	0
ERR2183331	4/11/14	TBC13	Female	0	run1	week_7_fecal	0	0	0	0	0
ERR2183332	6/9/13	TBI06	Female	1	run1	gavage_D2	0	0	0	0	1
ERR2183333	4/16/14	TBC01	Female	0	run1	week_8_fecal	0	0	0	0	0
ERR2183335	4/16/14	TBC03	Female	0	run1	week_8_fecal	0	0	0	0	0
ERR2183337	4/16/14	TBC05	Female	0	run1	week_8_fecal	0	0	0	0	0
ERR2183339	4/16/14	TBC07	Female	0	run1	week_8_fecal	0	0	0	0	0
ERR2183341	4/16/14	TBC09	Female	0	run1	week_8_fecal	0	0	0	0	0
ERR2183343	4/16/14	TBC11	Female	0	run1	week_8_fecal	0	0	0	0	0
ERR2183345	4/16/14	TBC13	Female	0	run1	week_8_fecal	0	0	0	0	0
ERR2183346	4/16/14	TBC01	Female	0	run1	week_8_cecal	0	0	0	0	0
ERR2183348	4/16/14	TBC03	Female	0	run1	week_8_cecal	0	0	0	0	0
ERR2183350	4/16/14	TBC05	Female	0	run1	week_8_cecal	0	0	0	0	0
ERR2183351	6/9/13	TBI07	Female	1	run1	gavage_D2	0	0	0	0	1
ERR2183353	6/15/13	TBI09	Female	1	run1	gavage_D2	0	0	0	0	1
ERR2183356	6/11/13	TBI02	Female	1	run1	gavage_D4	0	0	0	0	1
ERR2183358	6/11/13	TBI04	Female	1	run1	gavage_D4	0	0	0	0	1
ERR2183360	6/11/13	TBI06	Female	1	run1	gavage_D4	0	0	0	0	1
ERR2183371	4/1/14	CM1	Male	0	run1	week_6	0	0	0	0	0
ERR2183372	4/1/14	CF1	Female	0	run1	week_6	0	0	0	0	0
ERR2183373	4/1/14	CF2	Female	0	run1	week_6	0	0	0	0	0
ERR2183374	6/11/13	TBI07	Female	1	run1	gavage_D4	0	0	0	0	1
ERR2183375	4/1/14	CF2	Female	0	run1	week_6	0	0	0	0	0
ERR2183376	4/1/14	CF1	Female	0	run1	week_6	0	0	0	0	0
ERR2183377	4/1/14	CF2	Female	0	run1	week_6	0	0	0	0	0
ERR2183378	4/1/14	CF1	Female	0	run1	week_6	0	0	0	0	0
ERR2183379	4/1/14	CF1	Female	0	run1	week_6	0	0	0	0	0
ERR2183380	4/1/14	CM1	Male	0	run1	week_6	0	0	0	0	0
ERR2183381	4/1/14	CF2	Female	0	run1	week_6	0	0	0	0	0
ERR2183382	4/1/14	CM1	Male	0	run1	week_6	0	0	0	0	0
ERR2183383	4/1/14	CM1	Male	0	run1	week_6	0	0	0	0	0
ERR2183384	4/1/14	CM1	Male	0	run1	week_6	0	0	0	0	0
ERR2183386	4/1/14	CM2	Male	0	run1	week_6	0	0	0	0	0
ERR2183387	4/1/14	CM2	Male	0	run1	week_6	0	0	0	0	0
ERR2183388	4/1/14	CM2	Male	0	run1	week_6	0	0	0	0	0
ERR2183389	4/1/14	CM3	Male	0	run1	week_6	0	0	0	0	0
ERR2183390	4/1/14	CF3	Female	0	run1	week_6	0	0	0	0	0
ERR2183391	4/1/14	CM3	Male	0	run1	week_6	0	0	0	0	0
ERR2183392	4/1/14	CF3	Female	0	run1	week_6	0	0	0	0	0
ERR2183396	6/17/13	TBI09	Female	1	run1	gavage_D4	0	0	0	0	1
ERR2183410	6/2/14	CM1	Male	0	run1	week_15	0	0	0	0	0
ERR2183411	6/2/14	CF1	Female	0	run1	week_15	0	0	0	0	0
ERR2183412	6/2/14	CF2	Female	0	run1	week_15	0	0	0	0	0
ERR2183413	6/2/14	CF2	Female	0	run1	week_15	0	0	0	0	0
ERR2183414	6/2/14	CF1	Female	0	run1	week_15	0	0	0	0	0
ERR2183415	6/2/14	CF2	Female	0	run1	week_15	0	0	0	0	0
ERR2183416	6/2/14	CF1	Female	0	run1	week_15	0	0	0	0	0
ERR2183417	6/2/14	CF1	Female	0	run1	week_15	0	0	0	0	0
ERR2183419	6/2/14	CM1	Male	0	run1	week_15	0	0	0	0	0
ERR2183420	6/2/14	CF2	Female	0	run1	week_15	0	0	0	0	0
