collection_date	cage	gender	response	run	timepoint	DNR	TNBS	AOMDSS	DSS	IL10
ERR2183859	3/4/14	CF2	Female	0	run2	pupday21	0	0	0	0	0
ERR2183860	3/4/14	CF1	Female	0	run2	pupday21	0	0	0	0	0
ERR2183861	3/4/14	CF2	Female	0	run2	pupday21	0	0	0	0	0
ERR2183862	3/4/14	CF1	Female	0	run2	pupday21	0	0	0	0	0
ERR2183863	3/4/14	CF1	Female	0	run2	pupday21	0	0	0	0	0
ERR2183864	3/4/14	CM1	Male	0	run2	pupday21	0	0	0	0	0
ERR2183865	3/4/14	CF2	Female	0	run2	pupday21	0	0	0	0	0
ERR2183866	3/4/14	CM1	Male	0	run2	pupday21	0	0	0	0	0
ERR2183867	3/4/14	CM1	Male	0	run2	pupday21	0	0	0	0	0
ERR2183868	3/4/14	CM1	Male	0	run2	pupday21	0	0	0	0	0
ERR2183869	3/8/14	CM2	Male	0	run2	pupday21	0	0	0	0	0
ERR2183870	3/8/14	CM2	Male	0	run2	pupday21	0	0	0	0	0
ERR2183871	3/8/14	CM2	Male	0	run2	pupday21	0	0	0	0	0
ERR2183872	3/11/14	CM3	Male	0	run2	pupday21	0	0	0	0	0
ERR2183873	3/11/14	CF3	Female	0	run2	pupday21	0	0	0	0	0
ERR2183874	3/11/14	CM3	Male	0	run2	pupday21	0	0	0	0	0
ERR2183875	3/11/14	CF3	Female	0	run2	pupday21	0	0	0	0	0
ERR2183891	3/11/14	CM1	Male	0	run2	pupday28	0	0	0	0	0
ERR2183892	3/11/14	CF1	Female	0	run2	pupday28	0	0	0	0	0
ERR2183893	3/11/14	CF2	Female	0	run2	pupday28	0	0	0	0	0
ERR2183894	3/11/14	CF2	Female	0	run2	pupday28	0	0	0	0	0
ERR2183895	3/11/14	CF1	Female	0	run2	pupday28	0	0	0	0	0
ERR2183896	3/11/14	CF2	Female	0	run2	pupday28	0	0	0	0	0
ERR2183897	3/11/14	CF1	Female	0	run2	pupday28	0	0	0	0	0
ERR2183898	3/11/14	CF1	Female	0	run2	pupday28	0	0	0	0	0
ERR2183899	3/11/14	CM1	Male	0	run2	pupday28	0	0	0	0	0
ERR2183900	3/11/14	CF2	Female	0	run2	pupday28	0	0	0	0	0
ERR2183901	3/11/14	CM1	Male	0	run2	pupday28	0	0	0	0	0
ERR2183902	3/11/14	CM1	Male	0	run2	pupday28	0	0	0	0	0
ERR2183903	3/11/14	CM1	Male	0	run2	pupday28	0	0	0	0	0
ERR2183904	3/14/14	CM2	Male	0	run2	pupday28	0	0	0	0	0
ERR2183905	3/14/14	CM2	Male	0	run2	pupday28	0	0	0	0	0
ERR2183906	3/14/14	CM2	Male	0	run2	pupday28	0	0	0	0	0
ERR2183907	3/18/14	CM3	Male	0	run2	pupday28	0	0	0	0	0
ERR2183908	3/18/14	CF3	Female	0	run2	pupday28	0	0	0	0	0
ERR2183909	3/18/14	CM3	Male	0	run2	pupday28	0	0	0	0	0
ERR2183910	3/18/14	CM3	Male	0	run2	pupday28	0	0	0	0	0
ERR2183915	7/22/14	CM2	Male	0	run2	week_21	0	0	0	0	0
ERR2183916	7/24/14	CM2	Male	0	run2	week_21	0	0	0	0	0
ERR2183917	7/22/14	CM3	Male	0	run2	week_21	0	0	0	0	0
ERR2183918	7/24/14	CM3	Male	0	run2	week_21	0	0	0	0	0
ERR2183926	7/15/14	CF1	Female	0	run2	week_21_cecal	0	0	0	0	0
ERR2183927	7/15/14	CF2	Female	0	run2	week_21_cecal	0	0	0	0	0
ERR2183928	7/15/14	CF2	Female	0	run2	week_21_cecal	0	0	0	0	0
ERR2183929	7/15/14	CF1	Female	0	run2	week_21_cecal	0	0	0	0	0
ERR2183930	7/15/14	CF2	Female	0	run2	week_21_cecal	0	0	0	0	0
ERR2183931	7/24/14	CM1	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2183932	7/24/14	CM1	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2183933	7/24/14	CM1	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2183934	7/22/14	CM2	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2183935	7/24/14	CM2	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2183936	7/24/14	CM3	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2183944	7/15/14	CF1	Female	0	run2	week_21_ileal	0	0	0	0	0
ERR2183945	7/15/14	CF2	Female	0	run2	week_21_ileal	0	0	0	0	0
ERR2183946	7/15/14	CF2	Female	0	run2	week_21_ileal	0	0	0	0	0
ERR2183947	7/15/14	CF1	Female	0	run2	week_21_ileal	0	0	0	0	0
ERR2183948	7/15/14	CF2	Female	0	run2	week_21_ileal	0	0	0	0	0
ERR2183949	7/24/14	CM1	Male	0	run2	week_21_ileal	0	0	0	0	0
ERR2183950	7/24/14	CM1	Male	0	run2	week_21_ileal	0	0	0	0	0
ERR2183951	7/22/14	CM2	Male	0	run2	week_21_ileal	0	0	0	0	0
ERR2183952	7/22/14	CM2	Male	0	run2	week_21_ileal	0	0	0	0	0
ERR2183953	7/22/14	CM3	Male	0	run2	week_21_ileal	0	0	0	0	0
ERR2183954	7/24/14	CM3	Male	0	run2	week_21_ileal	0	0	0	0	0
ERR2183955	7/3/13	COM1	Male	1	run2	pupday21	0	0	0	0	1
ERR2183956	7/3/13	COM1	Male	1	run2	pupday21	0	0	0	0	1
ERR2183957	7/3/13	COM1	Male	1	run2	pupday21	0	0	0	0	1
ERR2183958	7/3/13	COM1	Male	1	run2	pupday21	0	0	0	0	1
ERR2183959	7/3/13	COM2	Male	1	run2	pupday21	0	0	0	0	1
ERR2183960	7/3/13	COM2	Male	1	run2	pupday21	0	0	0	0	1
ERR2183961	7/3/13	COM2	Male	1	run2	pupday21	0	0	0	0	1
ERR2183962	7/3/13	COM2	Male	1	run2	pupday21	0	0	0	0	1
ERR2183963	7/8/13	COM4	Male	1	run2	pupday21	0	0	0	0	1
ERR2183964	7/8/13	COM4	Male	1	run2	pupday21	0	0	0	0	1
ERR2183965	7/8/13	COM4	Male	1	run2	pupday21	0	0	0	0	1
ERR2183966	7/8/13	COM4	Male	1	run2	pupday21	0	0	0	0	1
ERR2183967	7/8/13	COM4	Male	1	run2	pupday21	0	0	0	0	1
ERR2183968	7/9/13	COM3	Male	1	run2	pupday21	0	0	0	0	1
ERR2183969	7/9/13	COM3	Male	1	run2	pupday21	0	0	0	0	1
ERR2183970	7/9/13	COM3	Male	1	run2	pupday21	0	0	0	0	1
ERR2183971	7/9/13	COM3	Male	1	run2	pupday21	0	0	0	0	1
ERR2183972	11/4/13	COF6	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183973	11/4/13	COF6	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183974	11/4/13	COF6	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183975	11/4/13	COF6	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183976	11/4/13	COF5	Female	1	run2	week_21_ileal	0	0	0	0	1
ERR2183980	11/7/13	COM2	Male	1	run2	week_21_ileal	0	0	0	0	1
ERR2183981	11/7/13	COM2	Male	1	run2	week_21_ileal	0	0	0	0	1
ERR2183982	11/7/13	COM4	Male	1	run2	week_21_ileal	0	0	0	0	1
ERR2183983	11/7/13	COM4	Male	1	run2	week_21_ileal	0	0	0	0	1
ERR2183984	11/7/13	COM4	Male	1	run2	week_21_ileal	0	0	0	0	1
ERR2183985	9/30/13	COM4	Male	1	run2	week_14_ileal	0	0	0	0	1
ERR2183986	9/30/13	COM4	Male	1	run2	week_14_ileal	0	0	0	0	1
ERR2183987	9/30/13	COM3	Male	1	run2	week_14_ileal	0	0	0	0	1
ERR2183988	9/30/13	COM3	Male	1	run2	week_14_ileal	0	0	0	0	1
ERR2183989	9/30/13	COM3	Male	1	run2	week_14_ileal	0	0	0	0	1
ERR2183990	9/30/13	COM3	Male	1	run2	week_14_ileal	0	0	0	0	1
ERR2184007	7/11/13	COF2	Female	1	run2	pupday28	0	0	0	0	1
ERR2184008	7/11/13	COF2	Female	1	run2	pupday28	0	0	0	0	1
ERR2184009	7/11/13	COF2	Female	1	run2	pupday28	0	0	0	0	1
ERR2184010	7/11/13	COF3	Female	1	run2	pupday28	0	0	0	0	1
ERR2184011	7/11/13	COF3	Female	1	run2	pupday28	0	0	0	0	1
ERR2184012	7/11/13	COF3	Female	1	run2	pupday28	0	0	0	0	1
ERR2184013	7/11/13	COF4	Female	1	run2	pupday28	0	0	0	0	1
ERR2184014	7/11/13	COF4	Female	1	run2	pupday28	0	0	0	0	1
ERR2184015	7/11/13	COF4	Female	1	run2	pupday28	0	0	0	0	1
ERR2184016	7/11/13	COF4	Female	1	run2	pupday28	0	0	0	0	1
ERR2184017	7/11/13	COF4	Female	1	run2	pupday28	0	0	0	0	1
ERR2184018	7/15/13	COF5	Female	1	run2	pupday28	0	0	0	0	1
ERR2184019	7/15/13	COF5	Female	1	run2	pupday28	0	0	0	0	1
ERR2184020	7/15/13	COF5	Female	1	run2	pupday28	0	0	0	0	1
ERR2184021	7/15/13	COF6	Female	1	run2	pupday28	0	0	0	0	1
ERR2184022	7/15/13	COF6	Female	1	run2	pupday28	0	0	0	0	1
ERR2184023	7/15/13	COF6	Female	1	run2	pupday28	0	0	0	0	1
ERR2184024	7/15/13	COF6	Female	1	run2	pupday28	0	0	0	0	1
ERR2184025	7/15/13	COF5	Female	1	run2	pupday28	0	0	0	0	1
ERR2184042	7/22/13	COM1	Male	1	run2	week_6	0	0	0	0	1
ERR2184043	7/22/13	COM1	Male	1	run2	week_6	0	0	0	0	1
ERR2184044	7/22/13	COM1	Male	1	run2	week_6	0	0	0	0	1
ERR2184045	7/22/13	COM1	Male	1	run2	week_6	0	0	0	0	1
ERR2184046	7/22/13	COM2	Male	1	run2	week_6	0	0	0	0	1
ERR2184047	7/22/13	COM2	Male	1	run2	week_6	0	0	0	0	1
ERR2184048	7/22/13	COM2	Male	1	run2	week_6	0	0	0	0	1
ERR2184049	7/22/13	COM2	Male	1	run2	week_6	0	0	0	0	1
ERR2184050	7/28/13	COM4	Male	1	run2	week_6	0	0	0	0	1
ERR2184051	7/28/13	COM4	Male	1	run2	week_6	0	0	0	0	1
ERR2184052	7/28/13	COM4	Male	1	run2	week_6	0	0	0	0	1
ERR2184053	7/28/13	COM4	Male	1	run2	week_6	0	0	0	0	1
ERR2184054	7/28/13	COM4	Male	1	run2	week_6	0	0	0	0	1
ERR2184055	7/28/13	COM3	Male	1	run2	week_6	0	0	0	0	1
ERR2184056	7/28/13	COM3	Male	1	run2	week_6	0	0	0	0	1
ERR2184057	7/28/13	COM3	Male	1	run2	week_6	0	0	0	0	1
ERR2184058	7/28/13	COM3	Male	1	run2	week_6	0	0	0	0	1
ERR2184077	7/22/13	COF1	Female	1	run2	week_6	0	0	0	0	1
ERR2184078	7/22/13	COF1	Female	1	run2	week_6	0	0	0	0	1
ERR2184079	7/22/13	COF1	Female	1	run2	week_6	0	0	0	0	1
ERR2184080	7/22/13	COF1	Female	1	run2	week_6	0	0	0	0	1
ERR2184081	7/22/13	COF1	Female	1	run2	week_6	0	0	0	0	1
ERR2184082	7/22/13	COF2	Female	1	run2	week_6	0	0	0	0	1
ERR2184083	7/22/13	COF2	Female	1	run2	week_6	0	0	0	0	1
ERR2184084	7/22/13	COF2	Female	1	run2	week_6	0	0	0	0	1
ERR2184085	7/22/13	COF3	Female	1	run2	week_6	0	0	0	0	1
ERR2184086	7/22/13	COF3	Female	1	run2	week_6	0	0	0	0	1
ERR2184087	7/22/13	COF3	Female	1	run2	week_6	0	0	0	0	1
ERR2184088	7/22/13	COF4	Female	1	run2	week_6	0	0	0	0	1
ERR2184089	7/22/13	COF4	Female	1	run2	week_6	0	0	0	0	1
ERR2184090	7/22/13	COF4	Female	1	run2	week_6	0	0	0	0	1
ERR2184091	7/22/13	COF4	Female	1	run2	week_6	0	0	0	0	1
ERR2184093	11/3/13	COF6	Female	1	run2	week_21	0	0	0	0	1
ERR2184094	11/3/13	COF6	Female	1	run2	week_21	0	0	0	0	1
ERR2184096	11/3/13	COF6	Female	1	run2	week_21	0	0	0	0	1
ERR2184097	11/3/13	COF5	Female	1	run2	week_21	0	0	0	0	1
ERR2184102	7/23/13	COM1	Male	1	run2	week_6_cecal	0	0	0	0	1
ERR2184103	7/23/13	COM1	Male	1	run2	week_6_cecal	0	0	0	0	1
ERR2184104	7/23/13	COM1	Male	1	run2	week_6_cecal	0	0	0	0	1
ERR2184105	7/23/13	COM1	Male	1	run2	week_6_cecal	0	0	0	0	1
ERR2184106	7/23/13	COM2	Male	1	run2	week_6_cecal	0	0	0	0	1
ERR2184107	11/7/13	COM2	Male	1	run2	week_21_cecal	0	0	0	0	1
ERR2184109	11/7/13	COM2	Male	1	run2	week_21_cecal	0	0	0	0	1
ERR2184110	11/7/13	COM2	Male	1	run2	week_21_cecal	0	0	0	0	1
ERR2184111	11/7/13	COM4	Male	1	run2	week_21_cecal	0	0	0	0	1
ERR2184112	11/7/13	COM4	Male	1	run2	week_21_cecal	0	0	0	0	1
ERR2184113	11/7/13	COM4	Male	1	run2	week_21_cecal	0	0	0	0	1
ERR2184114	9/30/13	COM4	Male	1	run2	week_14_cecal	0	0	0	0	1
ERR2184115	9/30/13	COM4	Male	1	run2	week_14_cecal	0	0	0	0	1
ERR2184116	9/30/13	COM3	Male	1	run2	week_14_cecal	0	0	0	0	1
ERR2184117	9/30/13	COM3	Male	1	run2	week_14_cecal	0	0	0	0	1
ERR2184118	9/30/13	COM3	Male	1	run2	week_14_cecal	0	0	0	0	1
ERR2184119	9/30/13	COM3	Male	1	run2	week_14_cecal	0	0	0	0	1
ERR2184132	7/29/13	TBI02	Female	1	run2	week_6_cecal	0	0	0	0	1
ERR2184134	7/29/13	TBI04	Female	1	run2	week_6_cecal	0	0	0	0	1
ERR2184136	7/29/13	TBI06	Female	1	run2	week_6_cecal	0	0	0	0	1
ERR2184137	7/29/13	TBI07	Female	1	run2	week_6_cecal	0	0	0	0	1
ERR2184139	7/29/13	TBI09	Female	1	run2	week_6_cecal	0	0	0	0	1
ERR2184141	3/12/14	TBC05	Female	0	run2	pupday28	0	0	0	0	0
ERR2184142	3/12/14	TBC07	Female	0	run2	pupday28	0	0	0	0	0
ERR2184143	3/12/14	TBC09	Female	0	run2	pupday28	0	0	0	0	0
ERR2184159	7/22/14	CM1	Male	0	run2	week_21	0	0	0	0	0
ERR2184160	7/15/14	CF1	Female	0	run2	week_21	0	0	0	0	0
ERR2184161	7/15/14	CF2	Female	0	run2	week_21	0	0	0	0	0
ERR2184162	7/15/14	CF2	Female	0	run2	week_21	0	0	0	0	0
ERR2184163	7/15/14	CF1	Female	0	run2	week_21	0	0	0	0	0
ERR2184164	7/15/14	CF2	Female	0	run2	week_21	0	0	0	0	0
ERR2184165	7/17/14	CF1	Female	0	run2	week_21	0	0	0	0	0
ERR2184166	7/17/14	CF1	Female	0	run2	week_21	0	0	0	0	0
ERR2184167	7/22/14	CM1	Male	0	run2	week_21	0	0	0	0	0
ERR2184168	7/17/14	CF2	Female	0	run2	week_21	0	0	0	0	0
ERR2184169	7/24/14	CM1	Male	0	run2	week_21	0	0	0	0	0
ERR2184170	7/24/14	CM1	Male	0	run2	week_21	0	0	0	0	0
ERR2184171	7/24/14	CM1	Male	0	run2	week_21	0	0	0	0	0
ERR2184172	7/17/14	CF3	Female	0	run2	week_21	0	0	0	0	0
ERR2184173	7/17/14	CF3	Female	0	run2	week_21	0	0	0	0	0
ERR2184182	7/22/14	CM1	Male	0	run2	week_21_cecal	0	0	0	0	0
ERR2184183	7/17/14	CF1	Female	0	run2	week_21_cecal	0	0	0	0	0
ERR2184184	7/17/14	CF1	Female	0	run2	week_21_cecal	0	0	0	0	0
ERR2184186	7/19/13	TBI04	Female	1	run2	pupday36	0	0	0	0	1
