collection_date	genotype	Library_Name	inoculum	response	DNR	TNBS	AOMDSS	DSS
SRR6127041	24-Oct-2016	C57BL/6N	71L26	SPF-1	0	0	0	0	0
SRR6127039	24-Oct-2016	C57BL/6N	65L26	SPF-2	0	0	0	0	0
SRR6127040	24-Oct-2016	C57BL/6N	72L26	cSPF-2	0	0	0	0	0
SRR6127038	24-Oct-2016	C57BL/6N	66L26	SPF-2	0	0	0	0	0
SRR6127036	24-Oct-2016	C57BL/6N	68L26	SPF-1	0	0	0	0	0
SRR6127037	24-Oct-2016	C57BL/6N	67L26	SPF-1	0	0	0	0	0
SRR6127035	24-Oct-2016	C57BL/6N	69L26	SPF-1	0	0	0	0	0
SRR6127034	05-Jun-2016	C57BL/6N	6L15	SPF-1	0	0	0	0	0
SRR6127033	24-Oct-2016	C57BL/6N	6L26	SPF-1	0	0	0	0	0
SRR6127032	24-Oct-2016	C57BL/6N	70L26	SPF-1	0	0	0	0	0
SRR6127021	08-Feb-2016	C57BL/6N	184L19	SPF-6	0	0	0	0	0
SRR6127020	08-Feb-2016	C57BL/6N	185L19	SPF-6	0	0	0	0	0
SRR6127018	08-Feb-2016	C57BL/6N	181L19	SPF-2	0	0	0	0	0
SRR6127014	08-Feb-2016	C57BL/6N	183L19	SPF-6	0	0	0	0	0
SRR6127012	08-Feb-2016	C57BL/6N	182L19	SPF-2	0	0	0	0	0
SRR6127008	08-Feb-2016	C57BL/6N	110L19	SPF-5	0	0	0	0	0
SRR6127007	08-Feb-2016	C57BL/6N	108L19	SPF-1	0	0	0	0	0
SRR6127005	24-Oct-2016	C57BL/6N	113L26	cSPF-2	0	0	0	0	0
SRR6127004	08-Feb-2016	C57BL/6N	114L19	SPF-5	0	0	0	0	0
SRR6126999	05-Jun-2016	C57BL/6N	34L15	SPF-1	0	0	0	0	0
SRR6126998	08-Feb-2016	C57BL/6N	115L19	SPF-5	0	0	0	0	0
SRR6126992	08-Feb-2016	C57BL/6N	156L19	SPF-6	0	0	0	0	0
SRR6126991	06-Apr-2014	C57BL/6N	156L04	SPF-3	0	0	0	0	0
SRR6126990	06-Apr-2014	C57BL/6N	153L04	SPF-3	0	0	0	0	0
SRR6126987	08-Feb-2016	C57BL/6N	153L19	SPF-6	0	0	0	0	0
SRR6126988	06-Apr-2014	C57BL/6N	154L04	SPF-3	0	0	0	0	0
SRR6126986	06-Apr-2014	C57BL/6N	155L04	SPF-3	0	0	0	0	0
SRR6126985	08-Feb-2016	C57BL/6N	154L19	SPF-6	0	0	0	0	0
SRR6126983	08-Feb-2016	C57BL/6N	155L19	SPF-6	0	0	0	0	0
SRR6126982	08-Feb-2016	C57BL/6N	159L19	SPF-6	0	0	0	0	0
SRR6126977	05-Jun-2016	C57BL/6N	32L15	SPF-1	0	0	0	0	0
SRR6126974	13-Apr-2015	C57BL/6N	331L13	SPF-1	0	0	0	0	0
SRR6126963	03-Jul-2014	C57BL/6N	342L06	SPF-1	0	0	0	0	0
SRR6126961	03-Jul-2014	C57BL/6N	361L06	SPF-1	0	0	0	0	0
SRR6126959	05-Jun-2016	C57BL/6N	9L15	SPF-1	0	0	0	0	0
SRR6126957	24-Oct-2016	C57BL/6N	50L26	SPF-1	0	0	0	0	0
SRR6126956	24-Oct-2016	C57BL/6N	518L26	cSPF-2	1	0	0	0	1
SRR6126951	24-Oct-2016	C57BL/6N	4L26	SPF-1	0	0	0	0	0
SRR6126949	24-Oct-2016	C57BL/6N	49L26	SPF-1	0	0	0	0	0
SRR6126947	24-Oct-2016	C57BL/6N	21L26	cSPF-2	0	0	0	0	0
SRR6126944	21-Apr-2014	C57BL/6N	220L08	SPF-4	0	0	0	0	0
SRR6126945	21-Apr-2014	C57BL/6N	221L08	SPF-4	0	0	0	0	0
SRR6126943	30-Jan-2015	C57BL/6N	217L11	SPF-5	0	0	0	0	0
SRR6126942	21-Apr-2014	C57BL/6N	217L08	SPF-4	0	0	0	0	0
SRR6126941	21-Apr-2014	C57BL/6N	219L08	SPF-4	0	0	0	0	0
SRR6126940	21-Apr-2014	C57BL/6N	218L08	SPF-4	0	0	0	0	0
SRR6126939	21-Apr-2014	C57BL/6N	223L08	SPF-4	0	0	0	0	0
SRR6126938	21-Apr-2014	C57BL/6N	222L08	SPF-4	0	0	0	0	0
SRR6126937	06-Apr-2014	C57BL/6N	149L04	SPF-2	0	0	0	0	0
SRR6126935	06-Apr-2014	C57BL/6N	147L04	SPF-2	0	0	0	0	0
SRR6126934	08-Feb-2016	C57BL/6N	146L19	SPF-1	0	0	0	0	0
SRR6126933	08-Feb-2016	C57BL/6N	145L19	SPF-1	0	0	0	0	0
SRR6126932	06-Apr-2014	C57BL/6N	145L04	SPF-2	0	0	0	0	0
SRR6126931	08-Feb-2016	C57BL/6N	148L19	SPF-1	0	0	0	0	0
SRR6126930	06-Apr-2014	C57BL/6N	148L04	SPF-2	0	0	0	0	0
SRR6126928	08-Feb-2016	C57BL/6N	147L19	SPF-1	0	0	0	0	0
SRR6127378	24-Oct-2016	C57BL/6N	78L26	SPF-2	0	0	0	0	0
SRR6127377	24-Oct-2016	C57BL/6N	77L26	SPF-2	0	0	0	0	0
SRR6127376	24-Oct-2016	C57BL/6N	76L26	cSPF-2	0	0	0	0	0
SRR6127375	24-Oct-2016	C57BL/6N	75L26	cSPF-2	0	0	0	0	0
SRR6127374	24-Oct-2016	C57BL/6N	74L26	cSPF-2	0	0	0	0	0
SRR6127373	24-Oct-2016	C57BL/6N	73L26	cSPF-2	0	0	0	0	0
SRR6127371	24-Oct-2016	C57BL/6N	7L26	SPF-1	0	0	0	0	0
SRR6127370	21-Apr-2014	C57BL/6N	315L08	SPF-1	0	0	0	0	0
SRR6127366	21-Apr-2014	C57BL/6N	314L08	SPF-1	0	0	0	0	0
SRR6127365	21-Apr-2014	C57BL/6N	313L08	SPF-1	0	0	0	0	0
SRR6127362	21-Apr-2014	C57BL/6N	311L08	SPF-1	0	0	0	0	0
SRR6127360	08-Feb-2016	C57BL/6N	179L19	SPF-6	0	0	0	0	0
SRR6127357	08-Feb-2016	C57BL/6N	175L19	SPF-2	0	0	0	0	0
SRR6127356	08-Feb-2016	C57BL/6N	176L19	SPF-2	0	0	0	0	0
SRR6127355	06-Apr-2014	C57BL/6N	176L04	SPF-1	0	0	0	0	0
SRR6127354	06-Apr-2014	C57BL/6N	177L04	SPF-1	0	0	0	0	0
